Timestamp,Pressure1,Pressure2
2026-02-16T14:43:51.310,1244,1269
2026-02-16T14:43:51.310,1243,1274
2026-02-16T14:43:51.311,1294,1271
2026-02-16T14:43:51.312,1246,1267
2026-02-16T14:43:51.313,1247,1270
2026-02-16T14:43:51.314,1246,1270
2026-02-16T14:43:51.315,1246,1258
2026-02-16T14:43:51.316,1242,1271
2026-02-16T14:43:51.317,1242,1274
2026-02-16T14:43:51.318,1248,1264
2026-02-16T14:43:51.319,1248,1271
2026-02-16T14:43:51.320,1246,1270
2026-02-16T14:43:51.321,1248,1267
2026-02-16T14:43:51.322,1247,1271
2026-02-16T14:43:51.323,1245,1271
2026-02-16T14:43:51.324,1247,1264
2026-02-16T14:43:51.325,1244,1271
2026-02-16T14:43:51.326,1246,1271
2026-02-16T14:43:51.327,1245,1264
2026-02-16T14:43:51.328,1246,1271
2026-02-16T14:43:51.329,1246,1269
2026-02-16T14:43:51.330,1245,1287
2026-02-16T14:43:51.331,1243,1271
2026-02-16T14:43:51.332,1243,1272
2026-02-16T14:43:51.333,1247,1271
2026-02-16T14:43:51.334,1248,1270
2026-02-16T14:43:51.335,1247,1271
2026-02-16T14:43:51.336,1246,1272
2026-02-16T14:43:51.337,1243,1269
2026-02-16T14:43:51.338,1246,1271
2026-02-16T14:43:51.339,1246,1270
2026-02-16T14:43:51.340,1244,1267
2026-02-16T14:43:51.341,1246,1275
2026-02-16T14:43:51.342,1248,1270
2026-02-16T14:43:51.343,1242,1270
2026-02-16T14:43:51.344,1267,1271
2026-02-16T14:43:51.345,1247,1271
2026-02-16T14:43:51.346,1246,1271
2026-02-16T14:43:51.347,1247,1274
2026-02-16T14:43:51.348,1245,1271
2026-02-16T14:43:51.349,1246,1278
2026-02-16T14:43:51.350,1244,1268
2026-02-16T14:43:51.351,1243,1267
2026-02-16T14:43:51.352,1243,1272
2026-02-16T14:43:51.353,1245,1259
2026-02-16T14:43:51.354,1253,1271
2026-02-16T14:43:51.355,1243,1272
2026-02-16T14:43:51.356,1245,1270
2026-02-16T14:43:51.357,1244,1270
2026-02-16T14:43:51.358,1246,1273
2026-02-16T14:43:51.359,1243,1274
2026-02-16T14:43:51.360,1245,1270
2026-02-16T14:43:51.361,1246,1271
2026-02-16T14:43:51.362,1248,1270
2026-02-16T14:43:51.363,1245,1271
2026-02-16T14:43:51.364,1247,1266
2026-02-16T14:43:51.365,1249,1264
2026-02-16T14:43:51.366,1245,1270
2026-02-16T14:43:51.367,1243,1275
2026-02-16T14:43:51.368,1245,1274
2026-02-16T14:43:51.369,1246,1274
2026-02-16T14:43:51.370,1247,1270
2026-02-16T14:43:51.371,1246,1271
2026-02-16T14:43:51.372,1246,1270
2026-02-16T14:43:51.373,1246,1271
2026-02-16T14:43:51.374,1247,1272
2026-02-16T14:43:51.375,1245,1274
2026-02-16T14:43:51.376,1243,1270
2026-02-16T14:43:51.377,1242,1267
2026-02-16T14:43:51.378,1244,1269
2026-02-16T14:43:51.379,1248,1270
2026-02-16T14:43:51.380,1243,1269
2026-02-16T14:43:51.381,1243,1270
2026-02-16T14:43:51.382,1248,1274
2026-02-16T14:43:51.383,1249,1275
2026-02-16T14:43:51.384,1246,1273
2026-02-16T14:43:51.385,1248,1266
2026-02-16T14:43:51.386,1246,1275
2026-02-16T14:43:51.387,1246,1270
2026-02-16T14:43:51.388,1247,1271
2026-02-16T14:43:51.389,1244,1275
2026-02-16T14:43:51.390,1248,1270
2026-02-16T14:43:51.391,1249,1269
